"title","url","classification"
"Essex and Hester (Red)","https://api.nga.gov/iiif/084aa322-c144-441e-aa0d-39a9dd2b07c7/full/!200,200/0/default.jpg","Painting"
"Apollo Pursuing Daphne","https://api.nga.gov/iiif/087a5d3f-dddc-4a49-abe2-ec5bbfb2f410/full/!200,200/0/default.jpg","Painting"
"Bouquet of Flowers","https://api.nga.gov/iiif/08627478-afa5-4a31-aa08-00dae26e4fc6/full/!200,200/0/default.jpg","Painting"
"Matteo Olivieri (?)","https://api.nga.gov/iiif/08ab1072-423c-43f5-9e38-d4ed482a760c/full/!200,200/0/default.jpg","Painting"
"Husband","https://api.nga.gov/iiif/08738d01-f59e-463f-91c5-80aeae3c9472/full/!200,200/0/default.jpg","Painting"
"Two Studies of an Indian from Calcutta, Seated and Standing","https://api.nga.gov/iiif/08bd3d03-0c33-42b7-af66-6b0ff7fdc64b/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/0898f0e2-f8f8-47c8-bd24-11b1764a6168/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/08a57554-391a-4388-9708-5c551be13fc9/full/!200,200/0/default.jpg","Painting"
"Edmondo and Thérèse Morbilli","https://api.nga.gov/iiif/08f3f26d-bca4-46a6-8df8-d5572d944eb4/full/!200,200/0/default.jpg","Painting"
"Pot of Geraniums","https://api.nga.gov/iiif/08d167d8-182c-4780-88c6-37b7b902fa31/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/08e45e4a-9ef3-4fa9-a449-0e155c0e98ea/full/!200,200/0/default.jpg","Painting"
"Alaeutian Chief and Two Warriors","https://api.nga.gov/iiif/08c726b0-eddc-4f73-bebb-a9838cd1f2e2/full/!200,200/0/default.jpg","Painting"
"The Holy Family on the Steps","https://api.nga.gov/iiif/08ce53a5-b87a-42e8-b7c2-c3dd21d05845/full/!200,200/0/default.jpg","Painting"
"A Concert","https://api.nga.gov/iiif/094c319a-2f95-4caf-a2aa-0bc2386b69e1/full/!200,200/0/default.jpg","Painting"
"Sky with Flat White Cloud","https://api.nga.gov/iiif/091ab9e1-77c1-4443-b2fa-1c2d0f4db1b9/full/!200,200/0/default.jpg","Painting"
"Ailsa Mellon Bruce","https://api.nga.gov/iiif/3b0a1f8f-b585-4475-a1a9-5960c066f23b/full/!200,200/0/default.jpg","Painting"
"Tornado in an American Forest","https://api.nga.gov/iiif/09441219-721f-4ca2-bb06-734a7f57ef38/full/!200,200/0/default.jpg","Painting"
"Abraham Lincoln","https://api.nga.gov/iiif/09535e10-924c-456f-abc1-ce29e85ea9e9/full/!200,200/0/default.jpg","Painting"
"The Clown","https://api.nga.gov/iiif/0953702b-e53a-4fd0-a7c0-0b928b588b4f/full/!200,200/0/default.jpg","Painting"
"Encampment of Cocomas - Looking Ashore","https://api.nga.gov/iiif/0953f3f0-6547-4aee-b0ae-82a750c6d872/full/!200,200/0/default.jpg","Painting"
"Dance to the Berdache - Saukie","https://api.nga.gov/iiif/09714ae7-7c7f-4e00-a33b-efff7cc1cf06/full/!200,200/0/default.jpg","Painting"
"Two Women at a Window","https://api.nga.gov/iiif/099e8599-3242-46f4-bf5d-1a2e6032eb13/full/!200,200/0/default.jpg","Painting"
"A la Bastille (Jeanne Wenz)","https://api.nga.gov/iiif/098b0716-65cf-4b50-826b-0a6849ba0816/full/!200,200/0/default.jpg","Painting"
"Two Choctaw Indians","https://api.nga.gov/iiif/095da846-c1df-4eff-a12c-1f3542ac5dc6/full/!200,200/0/default.jpg","Painting"
"C & O","https://api.nga.gov/iiif/09a16c27-1256-4382-b248-1cc320d9d71b/full/!200,200/0/default.jpg","Painting"
"Lady Wearing Spectacles","https://api.nga.gov/iiif/09d4b14d-114e-422e-8903-1657c04438fd/full/!200,200/0/default.jpg","Painting"
"Catching Wild Horses - Pawnee","https://api.nga.gov/iiif/09b1ec9a-335b-42f2-a84b-fd938ddb1fa2/full/!200,200/0/default.jpg","Painting"
"People on a Café Terrace","https://api.nga.gov/iiif/09b8e36b-3cba-469d-baeb-3a3393fdcabc/full/!200,200/0/default.jpg","Painting"
"Confiture matière - lumière (Texturologie LIII) [Preserves of Matter and Light (Texturology LIII)]","https://api.nga.gov/iiif/09c0fff9-8775-4eed-914a-1e7e5d3f1d77/full/!200,200/0/default.jpg","Painting"
"Oyster Sloop, Cos Cob","https://api.nga.gov/iiif/09fc94ea-6ce3-4359-8786-2ddf5121d222/full/!200,200/0/default.jpg","Painting"
"Prairie Dog Village","https://api.nga.gov/iiif/0a590881-f637-4337-ab55-6c0c2cf8eb98/full/!200,200/0/default.jpg","Painting"
"Woodland Stream","https://api.nga.gov/iiif/0a1123ce-a460-4caa-9fa3-186150b63136/full/!200,200/0/default.jpg","Painting"
"Untitled (woman under tree) [reverse]","https://api.nga.gov/iiif/0a3acf86-6bc6-4f7e-add1-6ec4c26b8a8f/full/!200,200/0/default.jpg","Painting"
