,title,image_id,medium_display
187,Mom with Hand on Bed from the series Pretend You're Actually Alive,,"Chromogenic print, edition 2/5, plus 2 artist's prints"
188,"Personal Commissions: “Beautiful, tall and slender 28y/o seeks well connected man. If U attend A-list gala events in NYC, are kind and bring a date lets have some fun!!! Ummmm. Ext.#4803”",01577ad4-6eea-5972-6a16-194a161ae179,Chromogenic print; edition 2/2 APs
189,"Personal Commissions: “FIRE. Sexy, beautiful WF, dominant wants a very willing, submissive who understands his place, for creative + complicated discreet play. Tribute. Ext#6795”",e0dafcca-f098-3dcd-983f-824e6b7def2d,Chromogenic print; edition 2/2 APs
190,"Personal Commissions: “She Said Yeah. SWF, sharpest knife in the drawer, and best looking too. You definitely want to get to know me. Seeking man who can keep up w/ me. No judgments. I’m pretty unconventional. Hopefully you like it that way.”",1bcf459d-7aaf-feda-7ec8-e51d9ae71453,Chromogenic print; edition 2/2 APs
191,"Personal Commissions: “Trophy needs polishing. Attractive, intelligent, sweet and caring midwestern SWF, 25 seeks man to take me to my potential. Quiet and shy person, but have another side. Looking for man of means, a leader.”",1505d034-8a27-af1b-7fd2-d22fc1d19f9d,Chromogenic print; edition 2/2 APs
192,"Personal Commissions: “Demi seeks Ashton Kutcher. Very attr single white Female 44 seeks tall attr responsible honest sexy sweet & financially stable younger man, 25-35 for possible relationship. Ext#7449”",0c839d9f-7d07-a860-4564-d31881a7951b,Chromogenic print; edition 2/2 APs
193,"Personal Commissions: “Beautiful, tall and slender 28y/o seeks well connected man. If U attend A-list gala events in NYC, are kind and bring a date lets have some fun!!! Ummmm. Ext.#4803”",73d1005c-392f-74fb-cad2-f0bb37cd170d,Chromogenic print; edition 2/2 APs
194,"Personal Commissions: “She Said Yeah. SWF, sharpest knife in the drawer, and best looking too. You definitely want to get to know me. Seeking man who can keep up w/ me. No judgments. I’m pretty unconventional. Hopefully you like it that way.”",06a5373f-9f7e-9988-7705-00df39e9368d,Chromogenic print; edition 2/2 APs
195,"Personal Commissions: ""Beautiful 50-ish woman looks 30, Anna Nicole type looks, seeks very generous + understanding gentleman, for ongoing friendship/relationship first. Ext 7461""",cfc913d8-0a8c-19e2-7901-e3488fb49906,Chromogenic print; edition 2/2 APs
196,"Personal Commissions: “A dream into the Real. Very sensuous, cheerful, SWF, 38, gifted, charming looking for a distinguished, very affluent hi-end art lover, a patron to share great heights. Ext#6910”",90499a6d-0a95-a3f7-4ed3-73f7856cc6ba,Chromogenic print; edition 2/2 APs
197,"Personal Commissions: “Let the Good Times Roll. 1 Blond, 53 yrs old, curvy, buxom, slim, clean, petite. No diseases or drugs. Seeking healthy, honest, reliable, financially secure younger man for discreet sensual fun. Ext#1084”",14bec849-bfe4-54c0-ac42-9e371fabe6f6,Chromogenic print; edition 2/2 APs
198,Vokzal,1c1e47cf-0aa7-41a8-38fd-4eddb5e27781,"16 mm film, DVD, sound; edition 1/5"
199,Personal Comissions,,Chromogenic prints (10)
200,"A Wooded River Landscape with Jacob, Laban, and His Daughters",b12c944b-0b7d-c57b-63e0-93cf97fbd8b3,"Pen and brown ink, with brush and black, brown and gray wash, and black chalk, on cream laid paper, laid down on cream laid card"
201,The Shipwreck,a2b271f3-350a-1626-2e42-567f6c2605f9,Etching on ivory laid paper
202,Harbor Scene with a Lighthouse,15800d70-d1c8-a732-007f-a22a55cb407e,Etching on ivory laid paper
203,Harbor with a Large Tower,5e197d73-5696-892f-627b-66418fffb8e1,Etching on ivory laid paper
204,Buildings Beside Lagoon,dd7c7a67-8f7e-52e0-ab6c-f298c336e9bd,"Pen and brown ink, with brush and gray wash, on ivory laid paper, perimter mounted on cream wove card"
205,Nymphs and Satyrs Playing Musical Instruments,ce60768f-0ba6-6616-40e1-6cfd2e95284e,"Pen and brown ink, with brush and brown wash, on cream laid paper"
206,Landscape with Walled Town,3529ff37-060d-398e-4d38-ed9c1270d52e,"Black chalk on rust laid paper, laid down on cream laid paper"
207,Dancers and Musicians Before Village with Ruined Tower,3eafa819-5496-d80d-933f-e5c7c3ec9123,"Red chalk over traces of graphite with pen and  brown ink border, on cream laid paper"
208,Italianate River Landscape with Bridge with Tower,42d7a622-ea36-1e8a-64df-1609d9122600,"Pen and brown ink and brush and brown wash, over graphite, on cream laid paper, tipped on to cream card"
209,Seascape,20aedad0-795c-dda3-0805-bb92ab27056d,"Pen and black ink and brush and gray wash on tan laid paper, laid down on tan laid card"
210,River Scene,4656916f-65a4-0381-e9de-4ea2ada47484,"Brush and gray wash, over black chalk, on cream laid paper, laid down on ivory laid paper"
211,The Tempest,3d9375e9-f39b-4255-71ba-92ba8268be1b,Etching on ivory laid paper
212,A Rocky Hillside,289792d8-e556-0482-c5ea-3f271803c829,"Pen and brown ink, brush with brown, pink, and green wash, heightened with white gouache, over traces of red chalk, on cream laid paper"
213,Snuff Box,6e8b0298-6317-ed74-c114-63ee57591e86,Gold and enamels
214,Arabesque,d1919b9b-70c6-fa0c-31ac-ad3abd975953,Etching on ivory laid paper
215,Seated Woman and Other Sketches,7ae19972-12e6-22f3-c605-e1228052c4a5,Etching on ivory laid paper
216,The Two Landscapes,9a3ac491-4a27-8130-32db-65b3fb698bb4,Etching on ivory laid paper
217,Study for a Scene with Brigands,8ab54058-3733-deda-2167-cf4444a9d9aa,Etching on ivory laid paper
218,Classical Landscape - Tivoli,3a0dfb18-960e-0bd2-6859-e6e964882783,Pen and ink on paper
219,The Flight into Egypt,25c83ed6-713c-4be6-dbfe-13fcaadd4da3,Etching on ivory laid paper
220,The Herd at the Watering Place,8241fef5-6249-844d-7bab-74b7ed0c131e,Etching on ivory laid paper
221,Panorama from the Sasso,b2228199-cf8f-41a1-9482-b32e654b9011,"Pen and brown ink with brush and brown wash, heightened with white gouache and traces of white chalk, over black chalk and graphite, on cream laid paper"
222,Two Frigate,c7d4eac7-c6dd-b19c-47fd-fbb7efb0ff0a,"Pen and iron gall ink, and brush and brown wash, with graphite, on buff laid paper, laid down on cream laid paper"
223,The Wooden Bridge (Rebecca and Eliezer),4bd90300-6714-27d7-09cb-a1bc60c48ff0,Etching on ivory laid paper
224,"Time, Apollo and the Seasons",d8625e4b-a95d-1771-7ef3-0fe369e11795,Etching on ivory laid paper
225,The Goatherd,eb59e571-83a8-74be-ac7e-ba891d350d53,Etching on ivory laid paper
226,Coast Scene with an Artist Drawing,953bfd0f-de06-2cca-6d04-a02cbf7caa22,Etching on ivory laid paper
227,The Rape of Europa,9b8469ca-fe14-47e6-51d4-47c0f4dd86b6,Etching on ivory laid paper
228,View of Delphi with a Procession,2e7e28aa-a77b-c7f8-852b-708c1171f928,Oil on canvas
